"time","gyro_x","gyro_y","gyro_z"
1.000372842E1,-3.868304193E-1,-1.087340117E-1,2.895501256E-1
1.001372842E1,-4.973970354E-1,-1.237002090E-1,2.582432926E-1
1.002372842E1,-6.105598211E-1,-1.386664063E-1,2.099849284E-1
1.003372842E1,-7.067710757E-1,-1.585195363E-1,1.456913650E-1
1.004372842E1,-7.728972435E-1,-2.255619913E-1,1.053742506E-2
1.005372842E1,-7.670940161E-1,-2.293798923E-1,-4.077525437E-2
1.006372842E1,-7.611380816E-1,-2.306016237E-1,-7.987063378E-2
1.007372842E1,-7.273877859E-1,-2.173153162E-1,-1.055269688E-1
1.008372842E1,-6.630942225E-1,-1.785253733E-1,-1.217148975E-1
1.009372842E1,-5.928447247E-1,-1.383609772E-1,-1.415680200E-1
1.010372842E1,-4.607451260E-1,-1.259909570E-1,-1.725694388E-1
1.011372842E1,-3.842342496E-1,-1.511891484E-1,-1.631010175E-1
1.012372842E1,-3.136793077E-1,-1.713477075E-1,-1.449277848E-1
1.013372842E1,-2.625193298E-1,-1.918116808E-1,-1.269072592E-1
1.014372842E1,-2.345722616E-1,-2.037235647E-1,-1.073595658E-1
1.015372842E1,-2.415972054E-1,-1.430951804E-1,-4.764748737E-2
1.016372842E1,-2.342668176E-1,-4.627304152E-2,-2.351831272E-2
1.017372842E1,-2.125810981E-1,5.543602258E-2,-2.611448988E-2
1.018372842E1,-2.005165219E-1,8.811730891E-2,-4.948008433E-2
1.019372842E1,-2.273945808E-1,3.344487399E-2,-8.216137439E-2
1.020372842E1,-2.831360400E-1,-6.475171447E-2,-9.285151958E-2
1.021372842E1,-3.094032407E-1,-3.877467215E-1,-4.214970022E-2
1.022372842E1,-2.567161322E-1,-5.688682795E-1,7.941247895E-3
1.023372842E1,-2.066251636E-1,-6.230825782E-1,5.299255997E-2
1.024372842E1,-2.017382532E-1,-4.983133376E-1,9.544769675E-2
1.025372842E1,-2.527455091E-1,-1.994474977E-1,1.391245574E-1
1.026372842E1,-4.149302244E-1,3.539963961E-1,8.032877743E-2
1.027372842E1,-4.726569951E-1,4.273002446E-1,-4.535674304E-2
1.028372842E1,-5.487096906E-1,4.338670373E-1,-1.963931769E-1
1.029372842E1,-6.415612102E-1,4.538728893E-1,-3.156646192E-1
1.030372842E1,-7.255551815E-1,3.433062732E-1,-3.846924007E-1
1.031372842E1,-7.739662528E-1,1.484402567E-1,-3.878994286E-1
1.032372842E1,-6.641632318E-1,2.504547499E-2,-4.642575979E-2
1.033372842E1,-4.720461071E-1,-9.926560335E-3,2.470949888E-1
1.034372842E1,-2.231185287E-1,1.832595654E-2,5.242751241E-1
1.035372842E1,7.177666761E-3,6.673702598E-2,7.162395120E-1
1.036372842E1,1.314887404E-1,5.497787148E-3,7.915286422E-1
