"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","gyro_x","gyro_y","gyro_z"
2.987659700E-2,5.018347263E0,1.563709617E0,8.591429710E0
3.833225000E-2,4.827519894E0,1.427916884E0,8.455039024E0
4.833225000E-2,4.598406792E0,1.343569875E0,8.323433876E0
5.833225000E-2,4.408177376E0,1.198205948E0,8.254639626E0
6.833225000E-2,4.408177376E0,1.198205948E0,8.254639626E0
7.833225000E-2,3.686143398E0,8.620143533E-1,8.537590981E0
8.833225000E-2,3.482753277E0,7.166503668E-1,8.616554260E0
9.833225000E-2,3.397209883E0,1.132403374E0,8.608778000E0
1.083322500E-1,3.561118364E0,1.468594909E0,8.581858635E0
1.183322500E-1,3.723830223E0,1.527817249E0,8.713463783E0
1.283322500E-1,3.779463291E0,1.414756417E0,9.095717430E0
1.383322500E-1,3.107080221E0,1.548156261E0,9.628120422E0
1.483322500E-1,3.334996462E0,1.501496196E0,9.260223389E0
1.583322500E-1,2.852244616E0,2.662015259E-1,1.056490993E1
1.683322500E-1,2.760719061E0,1.153938770E0,1.022931671E1
1.783322500E-1,2.697907448E0,1.516451359E0,9.869196892E0
1.883322500E-1,3.640679598E0,1.557129383E0,1.106979561E1
1.983322500E-1,3.611367464E0,1.195813060E0,1.027178955E1
2.083322500E-1,2.857030153E0,1.607378602E0,1.113141060E1
2.183322500E-1,2.675773859E0,1.743171334E0,1.064028454E1
2.283322500E-1,2.507079840E0,1.372882009E0,1.061575794E1
2.383322500E-1,2.121835470E0,8.919246197E-1,1.097468090E1
2.483322500E-1,1.481157184E0,8.231309652E-1,1.084068298E1
2.583322500E-1,1.001994491E0,8.997012973E-1,1.071864891E1
2.683322500E-1,8.344969153E-1,1.383649707E0,9.809974670E0
2.783322500E-1,9.852447510E-1,1.770688772E0,9.162117958E0
2.883322500E-1,1.264606714E0,2.120639086E0,8.404191017E0
2.983322500E-1,1.506880045E0,2.276172638E0,8.430512428E0
3.083322500E-1,1.700698733E0,2.212164640E0,8.787042618E0
3.183322500E-1,1.797009826E0,2.059622049E0,8.692526817E0
3.283322500E-1,1.836491346E0,2.267797709E0,7.508079052E0
3.383322500E-1,2.154138565E0,2.420938253E0,8.206185341E0
3.483322500E-1,2.582453728E0,3.031706333E0,9.791430473E0
3.583322500E-1,2.748754978E0,3.367299557E0,9.282357216E0
3.683322500E-1,2.535195589E0,2.976671457E0,8.909674644E0
3.783322500E-1,1.135992527E0,2.398804665E0,8.979664803E0
3.883322500E-1,5.144568682E-1,2.532204628E0,7.413562775E0
3.983322500E-1,1.293918848E0,1.806581140E0,7.128218651E0
4.083322500E-1,6.323033571E-1,9.672985673E-1,1.230867958E1
4.183322500E-1,1.704886109E-1,2.096112728E0,1.024247742E1
4.283322500E-1,-7.758727670E-1,4.938187599E0,1.174277687E1
4.383322500E-1,5.581258535E-1,5.444269657E0,8.306683540E0
4.483322500E-1,1.473978758E0,5.644668579E0,8.380861282E0
4.583322500E-1,1.041476011E0,5.329414368E0,1.006899738E1
4.683322500E-1,-6.155536175E-1,3.765704632E0,1.104467106E1
4.783322500E-1,-1.384846091E0,3.121437073E0,9.127422333E0
4.883322500E-1,-5.647061467E-1,4.849653244E0,8.222336769E0
4.983322500E-1,8.075776696E-2,6.135197163E0,7.073781967E0
5.083322500E-1,-5.539384484E-1,6.254240036E0,9.184251785E0
5.183322500E-1,-1.291526079E0,5.535196781E0,9.475577354E0
5.283322500E-1,-1.709671736E0,4.770092010E0,7.662416458E0
5.383322500E-1,2.133799553E0,7.858627796E0,1.740180254E0
5.483322500E-1,5.179862976E0,9.232706070E0,1.816152334E0
5.583322500E-1,4.765306473E0,7.676175117E0,4.568496704E0
5.683322500E-1,2.431705952E0,5.450850010E0,5.720042706E0
5.783322500E-1,1.130608693E-1,5.163711071E0,3.351746321E0
5.883322500E-1,-1.918445587E0,6.022136211E0,2.250449657E0
5.983322500E-1,-3.054438114E0,7.399205685E0,2.304288149E0
6.083322500E-1,-3.476173162E0,7.738388538E0,1.874776483E0
6.183322500E-1,-3.488735437E0,8.097311974E0,1.919641972E0
6.283322500E-1,-2.845066071E0,7.905886173E0,1.283151150E0
6.383322500E-1,-1.826321840E0,7.680362701E0,1.054636598E0
6.483322500E-1,-2.388635159E0,7.305885792E0,6.933203340E-1
6.583322500E-1,-2.901297569E0,6.973283291E0,-1.304088384E-1
6.683322500E-1,-3.287140131E0,7.314260483E0,-1.166501045E-1
6.783322500E-1,-3.943371773E0,8.121838570E0,1.764706671E-1
6.883322500E-1,-5.602196217E0,9.786644936E0,-1.295115232E0
6.983322500E-1,-6.496513367E0,1.093220806E1,-2.853441000E0
7.083322500E-1,-6.520441532E0,1.143888855E1,-1.101894855E0
7.183322500E-1,-5.889334679E0,1.187797165E1,-2.062613010E0
7.283322500E-1,-6.123233318E0,1.482533073E1,-1.173081279E0
7.383322500E-1,-6.968497753E0,1.184088326E1,6.813562512E-1
7.483322500E-1,-7.128218651E0,1.016530895E1,-9.218349457E-1
7.583322500E-1,-2.873780012E0,6.631708145E0,-9.577272534E-1
7.683322500E-1,-1.826920033E0,4.446462631E0,-3.750749528E-1
7.783322500E-1,-2.261217356E0,5.255236626E0,-6.508477330E-1
7.883322500E-1,-2.726621389E0,5.596213818E0,-3.074777126E-1
7.983322500E-1,-3.372683525E0,5.650052547E0,5.545366406E-1
8.083322500E-1,-3.233301640E0,6.221338749E0,7.639086246E-1
8.183322500E-1,-2.733799934E0,4.320241451E0,2.239681959E0
