"t","x","y","z"
1.600673617E1,-5.039638374E-3,2.794708498E-2,6.872233935E-3
1.601673617E1,-1.099557430E-2,2.076941915E-2,1.175915636E-2
1.602673617E1,-1.832595654E-2,2.672535367E-2,1.191187184E-2
1.603673617E1,-1.954768784E-2,2.672535367E-2,8.246680722E-3
1.604673617E1,-2.076941915E-2,1.695151068E-2,9.162978968E-4
1.605673617E1,-1.588249579E-2,6.108652335E-3,-2.748893574E-3
1.606673617E1,-1.359175146E-2,8.552113548E-3,-6.414085161E-3
1.607673617E1,-1.725694351E-2,1.466076635E-2,-7.635815535E-3
1.608673617E1,-2.214386500E-2,1.817324013E-2,-8.857546374E-3
1.609673617E1,-3.543018550E-2,1.450804994E-2,-6.414085161E-3
1.610673617E1,-4.627304152E-2,1.084285788E-2,-5.192354787E-3
1.611673617E1,-5.604688451E-2,2.443460980E-3,-2.596177394E-3
1.612673617E1,-6.322455406E-2,-3.665191587E-3,-1.527163113E-4
1.613673617E1,-6.811147183E-2,-3.665191587E-3,9.621127509E-3
1.614673617E1,-7.284568250E-2,-0.000000000E0,1.695151068E-2
1.615673617E1,-8.139779419E-2,5.955935922E-3,2.672535367E-2
1.616673617E1,-8.735372871E-2,1.450804994E-2,4.382958263E-2
1.617673617E1,-9.575312585E-2,3.023782931E-2,5.238169432E-2
1.618673617E1,-1.018617824E-1,3.390302137E-2,5.726861581E-2
1.619673617E1,-1.043052375E-1,3.634648025E-2,5.726861581E-2
1.620673617E1,-9.575312585E-2,3.863722831E-2,5.482515693E-2
1.621673617E1,-8.368854225E-2,4.718934000E-2,5.482515693E-2
1.622673617E1,-6.551529467E-2,5.696318299E-2,4.978551716E-2
1.623673617E1,-4.978551716E-2,6.429356337E-2,4.734205827E-2
1.624673617E1,-3.390302137E-2,7.162395120E-2,4.841107130E-2
1.625673617E1,-2.916881628E-2,7.513642311E-2,4.474587739E-2
1.626673617E1,-2.916881628E-2,7.513642311E-2,4.474587739E-2
1.627673617E1,-3.283400834E-2,7.040221989E-2,4.474587739E-2
1.628673617E1,-4.001167417E-2,6.185010448E-2,4.230241850E-2
1.629673617E1,-4.734205827E-2,5.818491429E-2,4.489859566E-2
1.630673617E1,-6.307183951E-2,5.451972410E-2,5.222897977E-2
1.631673617E1,-7.880161703E-2,5.329799280E-2,6.078109145E-2
1.632673617E1,-9.330966324E-2,5.451972410E-2,6.337726861E-2
1.633673617E1,-1.030835137E-1,5.681046844E-2,6.459899992E-2
1.634673617E1,-1.055269688E-1,6.169738993E-2,6.093380973E-2
1.635673617E1,-8.979719132E-2,7.742717117E-2,5.589416996E-2
1.636673617E1,-7.040221989E-2,8.964447677E-2,5.345070735E-2
1.637673617E1,-4.367686436E-2,1.029307917E-1,4.963280261E-2
1.638673617E1,-2.306016348E-2,1.067487001E-1,4.581489414E-2
1.639673617E1,-1.343903504E-2,1.079704314E-1,4.214970022E-2
1.640673617E1,-1.343903504E-2,1.030835137E-1,4.092797264E-2
1.641673617E1,-2.183843218E-2,9.208793938E-2,4.108068720E-2
1.642673617E1,-3.772092983E-2,8.491026610E-2,3.985895589E-2
1.643673617E1,-4.856378585E-2,8.353582025E-2,4.108068720E-2
1.644673617E1,-4.978551716E-2,9.697485715E-2,4.963280261E-2
1.645673617E1,-4.978551716E-2,1.151480973E-1,5.818491429E-2
1.646673617E1,-5.207626149E-2,1.188132912E-1,6.551529467E-2
1.647673617E1,-5.574145541E-2,1.030835137E-1,6.918048859E-2
1.648673617E1,-5.940664560E-2,8.597928286E-2,6.551529467E-2
1.649673617E1,-5.818491429E-2,1.053742543E-1,6.429356337E-2
1.650673617E1,-5.940664560E-2,1.272126883E-1,6.429356337E-2
1.651673617E1,-6.429356337E-2,1.174388453E-1,6.307183951E-2
1.652673617E1,-6.551529467E-2,8.124507964E-2,5.955936015E-2
1.653673617E1,-6.551529467E-2,5.329799280E-2,5.345070735E-2
1.654673617E1,-5.940664560E-2,4.856378585E-2,5.467243865E-2
1.655673617E1,-5.207626149E-2,4.612032697E-2,6.078109145E-2
1.656673617E1,-4.352414981E-2,4.978551716E-2,6.429356337E-2
1.657673617E1,-3.023782931E-2,8.124507964E-2,6.918048859E-2
1.658673617E1,-1.817324013E-2,1.055269688E-1,6.780604273E-2
1.659673617E1,-8.552113548E-3,1.320996135E-1,5.314527452E-2
1.660673617E1,1.206458826E-2,1.539380401E-1,3.955352306E-2
1.661673617E1,3.985895589E-2,1.685988009E-1,3.207042441E-2
1.662673617E1,7.024950534E-2,1.855503172E-1,3.436116874E-2
1.663673617E1,8.720101416E-2,1.747074574E-1,2.947424725E-2
1.664673617E1,3.512475174E-3,3.185662329E-1,5.879577994E-2
1.665673617E1,1.450804994E-2,2.883284092E-1,6.490442902E-2
1.666673617E1,6.078109145E-2,2.061670274E-1,7.345654815E-2
1.667673617E1,9.224065393E-2,1.603521258E-1,6.490442902E-2
1.668673617E1,1.394299865E-1,1.301143020E-1,2.092213556E-2
1.669673617E1,1.634064466E-1,1.276708394E-1,-3.054326214E-2
1.670673617E1,1.814269722E-1,1.808161139E-1,-6.597344577E-2
1.671673617E1,1.908953935E-1,2.570215464E-1,-9.544769675E-2
1.672673617E1,1.968513280E-1,2.895501256E-1,-1.247692257E-1
1.673673617E1,2.196060568E-1,3.101668358E-1,-1.627955884E-1
1.674673617E1,2.704605758E-1,3.355177343E-1,-2.032654136E-1
1.675673617E1,3.430008292E-1,3.683517575E-1,-2.524400651E-1
1.676673617E1,4.046982229E-1,3.707951903E-1,-2.892446816E-1
1.677673617E1,4.627304375E-1,3.527746797E-1,-3.223841190E-1
1.678673617E1,4.760167301E-1,3.286454976E-1,-3.321579695E-1
1.679673617E1,4.324925840E-1,3.127630055E-1,-3.234531581E-1
1.680673617E1,3.743076921E-1,3.005456924E-1,-3.060434759E-1
1.681673617E1,2.773328125E-1,2.906191349E-1,-2.764165103E-1
1.682673617E1,1.695151031E-1,2.855795026E-1,-2.504547536E-1
1.683673617E1,7.727445662E-2,2.828305960E-1,-2.306016237E-1
1.684673617E1,-2.825251780E-2,2.790127099E-1,-2.118175179E-1
1.685673617E1,-1.131627858E-1,2.811507285E-1,-2.054034323E-1
1.686673617E1,-1.592831165E-1,3.087923825E-1,-2.076941878E-1
1.687673617E1,-1.666134894E-1,3.329215646E-1,-2.223549485E-1
1.688673617E1,-1.498146951E-1,3.643811047E-1,-2.469422817E-1
1.689673617E1,-1.256855279E-1,4.056145251E-1,-2.666426897E-1
1.690673617E1,-1.207986027E-1,4.454734921E-1,-2.690861523E-1
1.691673617E1,-1.244637966E-1,4.963280261E-1,-2.533563673E-1
1.692673617E1,-1.389718503E-1,5.181664228E-1,-2.264782935E-1
1.693673617E1,-1.557706445E-1,5.036584139E-1,-1.996002197E-1
1.694673617E1,-1.653917581E-1,4.844161272E-1,-1.835650057E-1
1.695673617E1,-1.629483104E-1,4.625777006E-1,-1.750128865E-1
1.696673617E1,-1.325577646E-1,4.445571899E-1,-1.715004146E-1
1.697673617E1,-8.277224004E-2,4.314235747E-1,-1.667662114E-1
1.698673617E1,-3.894266114E-2,4.037819207E-1,-1.608102769E-1
1.699673617E1,2.306016348E-2,3.810271919E-1,-1.475239545E-1
1.700673617E1,7.299839705E-2,3.775147200E-1,-1.220203340E-1
1.701673617E1,9.728029370E-2,3.862195611E-1,-9.773843735E-2
1.702673617E1,9.621127695E-2,3.935499489E-1,-6.612616032E-2
1.703673617E1,8.185594529E-2,4.056145251E-1,-4.291328415E-2
1.704673617E1,5.390885845E-2,4.260784984E-1,-3.298672289E-2
1.705673617E1,4.062253982E-2,4.358523488E-1,-2.687807009E-2
1.706673617E1,2.489275858E-2,4.273002446E-1,-1.221730467E-2
1.707673617E1,1.038470957E-2,4.224133193E-1,6.261368748E-3
1.708673617E1,-6.414085161E-3,4.297437072E-1,2.580905706E-2
1.709673617E1,-2.214386500E-2,4.309654236E-1,4.780020565E-2
1.710673617E1,-5.467243865E-2,4.491386712E-1,9.056077152E-2
1.711673617E1,-9.697485715E-2,4.951062799E-1,1.308778822E-1
1.712673617E1,-1.285871267E-1,5.410739183E-1,1.444696337E-1
1.713673617E1,-1.469130963E-1,5.772676468E-1,1.346957833E-1
1.714673617E1,-1.481348276E-1,5.771149397E-1,1.078177169E-1
1.715673617E1,-1.507309973E-1,5.432119370E-1,7.131851465E-2
1.716673617E1,-1.605048478E-1,4.922046661E-1,4.703662544E-2
1.717673617E1,-1.704314053E-1,4.462370574E-1,1.908953860E-2
1.718673617E1,-1.814269722E-1,4.375322461E-1,-5.345070735E-3
1.719673617E1,-1.850921661E-1,4.363104999E-1,-2.611448988E-2
1.720673617E1,-1.850921661E-1,4.158465266E-1,-1.863138936E-2
1.721673617E1,-1.739438772E-1,3.651446998E-1,1.679879427E-2
1.722673617E1,-1.809688359E-1,2.793181241E-1,6.322455406E-2
1.723673617E1,-1.928807050E-1,2.260201424E-1,9.269879758E-2
1.724673617E1,-2.073887438E-1,2.090686262E-1,1.085812971E-1
1.725673617E1,-1.675297916E-1,2.672535479E-1,5.711590126E-2
1.726673617E1,-5.665775016E-2,3.602577746E-1,-8.002334833E-2
1.727673617E1,4.092797264E-2,4.474588037E-1,-1.831068546E-1
1.728673617E1,1.221730486E-1,5.480988622E-1,-1.835650057E-1
1.729673617E1,1.507309973E-1,5.981897712E-1,-5.925392732E-2
1.730673617E1,1.380555481E-1,5.827654600E-1,6.520986557E-2
1.731673617E1,5.345070735E-2,5.621487498E-1,1.473712474E-1
1.732673617E1,-1.197295859E-1,4.844161272E-1,2.139555514E-1
1.733673617E1,-3.280346394E-1,3.567453027E-1,2.551889420E-1
1.734673617E1,-4.470006526E-1,2.015855312E-1,2.510656118E-1
1.735673617E1,-4.894557893E-1,8.277224004E-2,2.112066597E-1
1.736673617E1,-3.962988257E-1,6.352998316E-2,1.669189334E-1
1.737673617E1,-2.472477108E-1,1.267545372E-1,1.211040318E-1
1.738673617E1,-1.320996135E-1,2.020436823E-1,1.096503139E-1
1.739673617E1,-3.008511290E-2,2.605340183E-1,1.334740520E-1
1.740673617E1,3.329215571E-2,2.112066597E-1,1.760819107E-1
1.741673617E1,8.093964309E-2,9.896016866E-2,2.249511331E-1
1.742673617E1,9.468411654E-2,-4.886921961E-3,2.652682364E-1
1.743673617E1,7.925976813E-2,-1.137736514E-1,3.094032407E-1
1.744673617E1,2.504547499E-2,-1.838704348E-1,3.756821156E-1
1.745673617E1,-5.100724846E-2,-2.214386463E-1,4.529565871E-1
1.746673617E1,-6.459899992E-2,-1.864666194E-1,4.309654236E-1
1.747673617E1,-1.786780916E-2,-5.222897977E-2,3.255911767E-1
1.748673617E1,-6.414085161E-3,9.758572280E-2,2.289217561E-1
1.749673617E1,-1.634064503E-2,1.834122837E-1,1.994474977E-1
1.750673617E1,-3.100141138E-2,2.486221492E-1,1.957823038E-1
1.751673617E1,-2.244929783E-2,2.716823220E-1,2.029599845E-1
1.752673617E1,7.635815418E-4,2.561052442E-1,2.151772827E-1
1.753673617E1,2.015855350E-2,2.403754741E-1,2.298380435E-1
1.754673617E1,3.970624134E-2,2.429716438E-1,2.492330223E-1
1.755673617E1,7.009678334E-2,2.382374406E-1,2.503020465E-1
1.756673617E1,8.582656831E-2,2.261728644E-1,2.466368377E-1
1.757673617E1,8.949175477E-2,2.104430795E-1,2.478585690E-1
1.758673617E1,7.498370856E-2,1.643227488E-1,2.345722616E-1
1.759673617E1,4.948008433E-2,1.122464910E-1,2.176207453E-1
1.760673617E1,3.237585723E-2,7.574728876E-2,1.994474977E-1
1.761673617E1,2.733621933E-2,6.841690838E-2,1.715004146E-1
1.762673617E1,3.207042441E-2,9.621127695E-2,1.444696337E-1
1.763673617E1,3.436116874E-2,1.252273768E-1,1.273654103E-1
1.764673617E1,2.825251780E-2,1.603521258E-1,1.200350225E-1
1.765673617E1,6.414085161E-3,1.771509200E-1,1.151480973E-1
1.766673617E1,-1.069014147E-2,1.855503172E-1,1.043052375E-1
1.767673617E1,-1.328631863E-2,1.915062517E-1,8.475755155E-2
1.768673617E1,2.443460980E-3,2.011273801E-1,5.177082866E-2
1.769673617E1,2.519819140E-2,2.241875380E-1,1.863138936E-2
1.770673617E1,7.254024595E-2,2.012801021E-1,-9.162978968E-4
1.771673617E1,1.258382350E-1,1.469130963E-1,-1.939497143E-2
1.772673617E1,2.107485086E-1,5.268712714E-2,-4.764748737E-2
1.773673617E1,3.066543639E-1,7.024950348E-3,-6.139195710E-2
1.774673617E1,3.758348525E-1,-2.550362423E-2,-6.520986557E-2
1.775673617E1,4.476115108E-1,-4.092797264E-2,-4.825835302E-2
1.776673617E1,4.780020416E-1,-3.466660157E-2,-1.069014147E-2
1.777673617E1,4.613559842E-1,-7.223481685E-2,3.833179548E-2
1.778673617E1,3.924809098E-1,-1.666134894E-1,8.628471941E-2
1.779673617E1,2.774855494E-1,-3.532328308E-1,1.041525230E-1
1.780673617E1,1.718058437E-1,-5.581781268E-1,5.604688451E-2
1.781673617E1,1.098030284E-1,-7.631233931E-1,-4.428773187E-3
1.782673617E1,1.159116775E-1,-9.083566070E-1,-2.244929783E-2
1.783673617E1,1.815796942E-1,-9.611964822E-1,1.023199316E-2
1.784673617E1,2.182316035E-1,-7.564038634E-1,8.674286306E-2
1.785673617E1,1.939497143E-1,-4.138612151E-1,1.569923609E-1
1.786673617E1,8.353582025E-2,1.667662114E-1,2.419026345E-1
1.787673617E1,-7.574728876E-2,7.715228200E-1,2.952006161E-1
1.788673617E1,-2.133446932E-1,1.215163708E0,2.887865305E-1
1.789673617E1,-2.803871334E-1,1.257160664E0,2.390010208E-1
1.790673617E1,-2.635883391E-1,9.326385260E-1,1.430951804E-1
1.791673617E1,-1.531744599E-1,3.833179474E-1,4.230241850E-2
1.792673617E1,1.679879427E-2,-1.849394590E-1,-2.947424725E-2
1.793673617E1,1.493565589E-1,-5.488623977E-1,-4.642575979E-2
1.794673617E1,2.696970105E-1,-8.122980595E-1,-5.375614017E-2
1.795673617E1,3.521638215E-1,-8.097018600E-1,-7.360926270E-2
1.796673617E1,3.665191531E-1,-6.681338549E-1,-1.079704314E-1
1.797673617E1,2.967278063E-1,-4.240931869E-1,-1.655444801E-1
1.798673617E1,1.482875347E-1,-1.959350258E-1,-2.043344229E-1
1.799673617E1,-4.245513305E-2,-1.267545391E-2,-2.101376504E-1
1.800673617E1,-1.773036420E-1,9.224065393E-2,-2.098322064E-1
1.801673617E1,-3.000875413E-1,1.970040351E-1,-2.193006277E-1
1.802673617E1,-3.657555580E-1,2.585487068E-1,-2.423607856E-1
1.803673617E1,-3.755294085E-1,2.802344263E-1,-2.643519342E-1
1.804673617E1,-3.512475193E-1,2.802344263E-1,-2.667953968E-1
1.805673617E1,-2.953533530E-1,2.429716438E-1,-2.486221492E-1
1.806673617E1,-2.331978083E-1,1.948660165E-1,-2.060143054E-1
1.807673617E1,-1.867720485E-1,1.479821056E-1,-1.670716405E-1
1.808673617E1,-1.525636017E-1,8.888089657E-2,-1.269072592E-1
1.809673617E1,-1.487456858E-1,2.733621933E-2,-8.659014851E-2
1.810673617E1,-1.751656085E-1,-4.902193695E-2,-6.551529467E-2
1.811673617E1,-2.139555514E-1,-9.254608303E-2,-5.803219974E-2
1.812673617E1,-2.637410760E-1,-1.400408596E-1,-6.627888232E-2
1.813673617E1,-3.110831380E-1,-1.692096740E-1,-8.567385375E-2
1.814673617E1,-3.379611969E-1,-1.669189334E-1,-9.529497474E-2
1.815673617E1,-3.524692357E-1,-1.464549452E-1,-9.651670605E-2
1.816673617E1,-3.294090927E-1,-1.123992056E-1,-8.933904022E-2
1.817673617E1,-2.698497176E-1,-7.345654815E-2,-6.887505949E-2
1.818673617E1,-2.127338201E-1,-5.268712714E-2,-4.596760869E-2
1.819673617E1,-1.325577646E-1,-3.176499158E-2,-1.450804994E-2
1.820673617E1,-1.273654103E-1,-8.246681094E-2,3.924809024E-2
1.821673617E1,-2.657263726E-2,-2.764165215E-2,4.123340547E-2
1.822673617E1,8.506298810E-2,7.070764899E-2,4.917465150E-2
1.823673617E1,9.972374886E-2,1.059851199E-1,7.834346592E-2
1.824673617E1,9.254608303E-2,7.330382615E-2,9.682214260E-2
1.825673617E1,7.437284291E-2,2.733621933E-2,9.941831976E-2
1.826673617E1,2.458732575E-2,-2.733621933E-2,8.735372871E-2
1.827673617E1,-5.681046844E-2,-6.643159688E-2,6.948592514E-2
1.828673617E1,-1.792889535E-1,-1.151480973E-1,7.238753140E-2
1.829673617E1,-2.762638032E-1,-1.867720485E-1,7.773260027E-2
1.830673617E1,-3.599523604E-1,-3.188716471E-1,8.200865984E-2
1.831673617E1,-3.926336467E-1,-4.460843503E-1,6.032294407E-2
1.832673617E1,-3.807217777E-1,-4.995350540E-1,1.038470957E-2
1.833673617E1,-3.495676219E-1,-4.789183438E-1,-4.841107130E-2
1.834673617E1,-2.843577862E-1,-4.159992337E-1,-1.206458881E-1
1.835673617E1,-2.130392492E-1,-3.772092760E-1,-1.527163088E-1
1.836673617E1,-1.704314053E-1,-3.952298164E-1,-1.406517178E-1
1.837673617E1,-1.847867370E-1,-4.689917862E-1,-1.050688252E-1
1.838673617E1,-2.671008408E-1,-4.812090993E-1,-6.582073122E-2
1.839673617E1,-2.649627924E-1,-2.609921694E-1,-8.933904022E-2
1.840673617E1,-1.516472995E-1,2.947424725E-2,-1.902845204E-1
1.841673617E1,8.857546002E-2,3.646865487E-1,-3.979786932E-1
1.842673617E1,3.591887653E-1,4.387539625E-1,-6.186537743E-1
1.843673617E1,5.891795158E-1,3.132211566E-1,-7.840455174E-1
1.844673617E1,7.128797174E-1,2.312124968E-1,-7.990117669E-1
1.845673617E1,7.055493593E-1,1.713477075E-1,-5.804746747E-1
1.846673617E1,5.045747161E-1,8.918632567E-2,-2.696970105E-1
1.847673617E1,3.103195429E-1,-1.847867295E-2,-6.612616032E-2
1.848673617E1,8.796459436E-2,-1.420261711E-1,1.020144969E-1
1.849673617E1,-1.082758680E-1,-2.125810981E-1,1.919644028E-1
1.850673617E1,-2.707660198E-1,-2.238821089E-1,2.109012306E-1
1.851673617E1,-3.776674271E-1,-2.061670274E-1,1.916589737E-1
1.852673617E1,-4.445571899E-1,-1.725694388E-1,1.650863290E-1
1.853673617E1,-4.422664344E-1,-7.941248268E-2,1.576032341E-1
