"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.116149300E-1,-1.986042738E0,3.389433384E0,8.773882866E0
6.216149300E-1,-3.136392355E0,3.665804386E0,8.726624489E0
6.316149300E-1,-2.523231506E0,2.787638426E0,9.201599121E0
6.416149300E-1,-1.323829174E0,2.474178553E0,9.425926208E0
6.516149300E-1,-5.545366406E-1,2.118246317E0,9.662218094E0
6.616149300E-1,2.243271172E-1,1.896910191E0,1.002652550E1
6.716149300E-1,4.498506486E-1,2.058425665E0,1.049133110E1
6.816149300E-1,-1.094118118E0,4.279563427E0,1.086999512E1
6.916149300E-1,-1.913659930E0,6.508477688E0,1.002831936E1
7.016149300E-1,-2.634497643E0,8.805587769E0,9.027522087E0
7.116149300E-1,-2.514258385E0,7.629515171E0,7.147361279E0
7.216149300E-1,-3.685544968E0,6.334399700E0,4.798805714E0
7.316149300E-1,-3.860819340E0,5.941378593E0,6.996613503E0
7.416149300E-1,-4.198207378E0,5.605186939E0,5.928217888E0
7.516149300E-1,-4.494917393E0,5.486742496E0,5.568098068E0
7.616149300E-1,-5.642873764E0,6.524031162E0,5.609972477E0
7.716149300E-1,-7.407580853E0,9.239884377E0,5.785845280E0
7.816149300E-1,-6.259026051E0,9.004191399E0,4.798207760E0
7.916149300E-1,-6.092724800E0,8.748159409E0,3.253640652E0
8.016149300E-1,-6.360122681E0,7.118049145E0,1.307677627E0
8.116149300E-1,-6.261418819E0,4.038486481E0,-1.094716340E-1
8.216149300E-1,-5.005784988E0,2.124228239E0,-1.108475089E0
8.316149300E-1,-3.544966698E0,1.211964726E0,-2.149951220E0
8.416149300E-1,-3.217149973E0,1.777867198E0,8.093124390E0
8.516149300E-1,3.396611691E0,1.765903115E0,5.791946793E1
8.616149300E-1,6.559325218E0,1.204487133E1,9.939785004E0
8.716149300E-1,4.687539577E0,9.695118904E0,1.134736347E1
8.816149300E-1,-1.042672515E0,7.429714203E0,3.982853174E0
8.916149300E-1,-1.109073281E0,-2.386840582E-1,1.247378445E1
9.016149300E-1,1.313061476E0,-4.108476639E0,1.503589916E1
9.116149300E-1,3.372683525E0,-6.231508255E0,1.552164268E1
9.216149300E-1,2.645863533E0,-5.745167255E0,8.435297966E0
9.316149300E-1,8.315058947E-1,-6.107081413E0,4.724030018E0
9.416149300E-1,1.251446247E0,-7.637291908E0,8.901898384E0
9.516149300E-1,4.165904045E0,-7.737790108E0,1.287218952E1
9.616149300E-1,8.813364029E0,-1.091186905E1,1.181456184E1
9.716149300E-1,1.262034512E1,-1.296610737E1,1.388734436E1
9.816149300E-1,1.180678558E1,-1.203230858E1,1.530150223E1
9.916149300E-1,1.027298546E1,-1.100279713E1,1.374796295E1
1.001614930E0,9.570692062E0,-9.693922997E0,1.180080318E1
1.011614930E0,8.693124771E0,-8.437092781E0,1.078564835E1
1.021614930E0,6.265007973E0,-6.817749977E0,9.332606316E0
1.031614930E0,1.723430514E0,-4.907679081E0,8.186444283E0
1.041614930E0,-5.025525570E0,-1.957328916E0,8.213363647E0
1.051614930E0,-9.447462082E0,1.877767563E0,6.984649181E0
1.061614930E0,-1.735932922E1,1.167817116E1,3.083750248E0
