"time","gyro_x","gyro_y","gyro_z"
1.086200268E1,-2.183843255E-1,-3.619376719E-1,-3.013092875E-1
1.087200268E1,-2.183843255E-1,-4.068362415E-1,-3.123048544E-1
1.088200269E1,-2.196060568E-1,-4.528038502E-1,-3.194825351E-1
1.089200269E1,-2.243402600E-1,-4.769330323E-1,-3.109304011E-1
1.090200269E1,-2.157881409E-1,-4.841107130E-1,-2.987131178E-1
1.091200269E1,-2.170098722E-1,-4.902193546E-1,-2.864958048E-1
1.092200268E1,-2.109012306E-1,-4.902193546E-1,-2.938261926E-1
1.093200268E1,-2.096794993E-1,-4.612032473E-1,-2.901609838E-1
1.094200268E1,-2.110539377E-1,-3.643811047E-1,-2.890919745E-1
1.095200268E1,-2.049452960E-1,-2.614503205E-1,-2.735149264E-1
1.096200268E1,-1.890627891E-1,-2.116648108E-1,-2.467895597E-1
1.097200269E1,-1.744020283E-1,-2.225076705E-1,-2.162462920E-1
1.098200269E1,-1.243110746E-1,-2.718350291E-1,-1.687515229E-1
1.099200269E1,-4.993823543E-2,-3.330742717E-1,-1.079704314E-1
1.100200268E1,8.704829961E-3,-3.617849350E-1,-5.085453019E-2
1.101200268E1,6.123924255E-2,-4.013384581E-1,2.107485011E-2
1.102200268E1,1.076650023E-1,-4.216497242E-1,8.933904022E-2
1.103200268E1,1.711949855E-1,-4.164573848E-1,1.598939747E-1
1.104200268E1,2.464841306E-1,-4.245513380E-1,1.754710376E-1
1.105200269E1,3.399465084E-1,-3.796527386E-1,1.640173197E-1
1.106200269E1,3.967569768E-1,-2.620611787E-1,1.331686229E-1
1.107200269E1,3.781255782E-1,-1.461495161E-1,8.292495459E-2
1.108200268E1,3.048217595E-1,-2.672535367E-2,2.321287990E-2
1.109200268E1,2.086104751E-1,6.001751125E-2,-2.535090782E-2
1.110200268E1,1.298088580E-1,1.189660057E-1,-2.397646010E-2
1.111200268E1,9.819658846E-2,1.455386430E-1,-2.260201424E-2
1.112200268E1,8.002334833E-2,1.878410578E-1,-7.941247895E-3
1.113200269E1,7.757988572E-2,2.423607856E-1,-6.872233935E-3
1.114200269E1,7.864890248E-2,3.040581644E-1,-5.803219974E-3
1.115200269E1,6.643159688E-2,3.426954150E-1,-1.435533352E-2
1.116200269E1,2.138028294E-2,3.533855379E-1,-3.741549700E-2
1.117200268E1,-1.160643995E-2,3.459024429E-1,-8.109235764E-2
1.118200268E1,-1.786780916E-2,3.179553747E-1,-1.238529310E-1
1.119200268E1,-3.512475174E-3,2.573269904E-1,-1.750128865E-1
1.120200268E1,2.428189293E-2,2.052507252E-1,-2.177734673E-1
1.121200268E1,6.291911751E-2,1.543961912E-1,-2.593123019E-1
1.122200269E1,9.926560521E-2,1.169806942E-1,-2.849686444E-1
1.123200269E1,1.343903542E-1,8.796459436E-2,-2.947424948E-1
1.124200269E1,1.488984078E-1,7.101308554E-2,-3.106249869E-1
1.125200268E1,1.464549452E-1,7.345654815E-2,-3.301726580E-1
1.126200268E1,1.537853181E-1,8.200865984E-2,-3.278819323E-1
1.127200268E1,1.792889535E-1,1.134682223E-1,-3.170390725E-1
1.128200268E1,2.205223590E-1,1.354593635E-1,-3.208569586E-1
1.129200268E1,2.701551616E-1,1.536326110E-1,-3.234531581E-1
1.130200269E1,3.431535661E-1,1.563815027E-1,-2.968805134E-1
1.131200269E1,4.198171496E-1,1.409571618E-1,-2.715296149E-1
1.132200269E1,5.036584139E-1,1.061378345E-1,-2.608394623E-1
1.133200268E1,5.497786999E-1,9.178250283E-2,-2.475531399E-1
1.134200268E1,5.815436840E-1,8.475755155E-2,-2.281581759E-1
1.135200268E1,5.949827433E-1,7.513642311E-2,-2.073887438E-1
1.136200268E1,5.998696685E-1,7.635815442E-2,-1.927279830E-1
1.137200268E1,6.035348773E-1,9.575312585E-2,-1.708895564E-1
1.138200269E1,5.951354504E-1,1.308778822E-1,-1.550070494E-1
1.139200269E1,5.855143666E-1,1.829541475E-1,-1.270599663E-1
1.140200269E1,5.650503635E-1,2.278527319E-1,-1.001819000E-1
1.141200269E1,5.274821520E-1,2.773328125E-1,-7.086037099E-2
1.142200268E1,4.850270152E-1,3.124575615E-1,-5.238169432E-2
1.143200268E1,4.329507351E-1,3.086396754E-1,-3.634648025E-2
1.144200268E1,3.831652105E-1,2.927571833E-1,-3.375030309E-2
1.145200268E1,3.104722500E-1,2.515237629E-1,-1.267545391E-2
1.146200268E1,2.316706479E-1,1.907426715E-1,-1.221730467E-2
1.147200269E1,1.733330190E-1,1.409571618E-1,-2.657263726E-2
1.148200269E1,1.527163088E-1,1.033889428E-1,-3.252857551E-2
1.149200269E1,1.394299865E-1,6.826419383E-2,-2.748893574E-2
1.150200268E1,1.104138941E-1,2.825251780E-2,-2.855795063E-2
1.151200268E1,9.957103431E-2,-8.093964309E-3,-2.000583708E-2
1.152200268E1,1.142318025E-1,-4.673119262E-2,-2.901609987E-3
1.153200268E1,1.762346178E-1,-8.521570265E-2,6.719517522E-3
1.154200268E1,2.770273983E-1,-1.237002090E-1,1.130100712E-2
1.155200269E1,3.837760985E-1,-1.293507218E-1,1.343903504E-2
1.156200269E1,5.283984542E-1,-9.865473956E-2,3.481931984E-2
1.157200269E1,6.583600044E-1,-1.588249579E-2,6.948592514E-2
1.158200268E1,7.215845585E-1,7.391469181E-2,1.154535338E-1
1.159200268E1,7.593054771E-1,1.988366395E-1,1.566869318E-1
1.160200268E1,7.603744864E-1,3.585779071E-1,1.453859210E-1
1.161200268E1,7.223481536E-1,5.398521423E-1,9.529497474E-2
1.162200268E1,6.710354686E-1,6.750060916E-1,6.352998316E-2
1.163200269E1,5.992587805E-1,8.211556077E-1,4.153883830E-2
1.164200269E1,5.323690772E-1,9.117164016E-1,4.413501546E-2
1.165200269E1,4.547891617E-1,8.825475574E-1,5.299255997E-2
1.166200269E1,3.541491330E-1,7.104362845E-1,4.993823543E-2
1.167200268E1,2.461786866E-1,3.020728528E-1,-2.748893574E-3
1.168200268E1,1.951714456E-1,-2.246456891E-1,-1.200350225E-1
1.169200268E1,1.123992056E-1,-5.700899959E-1,-2.191479057E-1
1.170200268E1,-1.357648075E-1,-9.016370773E-1,-3.813326359E-1
1.171200268E1,-4.218024611E-1,-1.009454846E0,-5.581781268E-1
1.172200269E1,-5.887213945E-1,-8.613200188E-1,-6.530149579E-1
1.173200269E1,-5.781839490E-1,-6.461427212E-1,-6.960809231E-1
1.174200269E1,-4.037819207E-1,-2.608394623E-1,-7.108944058E-1
1.175200268E1,-1.366810948E-1,1.892155111E-1,-6.198754907E-1
1.176200268E1,7.238753140E-2,5.725334287E-1,-4.821254015E-1
1.177200268E1,1.116356254E-1,7.447974682E-1,-3.628539443E-1
1.178200268E1,4.932736978E-2,7.608326674E-1,-2.089159191E-1
1.179200268E1,2.474004216E-2,6.255260110E-1,-6.093380973E-2
1.180200269E1,6.536258012E-2,4.747950137E-1,4.276056588E-2
1.181200269E1,1.536326110E-1,2.877175212E-1,1.537853181E-1
1.182200269E1,2.086104751E-1,1.719585657E-1,2.331978083E-1
1.183200268E1,2.176207453E-1,8.750644326E-2,2.906191349E-1
1.184200268E1,2.079996169E-1,2.214386500E-2,3.200933933E-1
1.185200268E1,1.669189334E-1,-4.566217586E-2,3.471241891E-1
1.186200268E1,9.911288321E-2,-8.445212245E-2,3.657555580E-1
1.187200268E1,1.298088674E-2,-1.223257631E-1,3.723223805E-1
1.188200269E1,-5.253441259E-2,-1.406517178E-1,3.651446998E-1
1.189200269E1,-1.241583601E-1,-1.577559561E-1,3.507893682E-1
1.190200269E1,-2.044871449E-1,-1.786780804E-1,3.133738637E-1
1.191200269E1,-2.701551616E-1,-1.971567571E-1,2.843577862E-1
1.192200268E1,-3.443752825E-1,-2.107485086E-1,2.638937831E-1
1.193200268E1,-4.269948006E-1,-2.255619913E-1,2.397646159E-1
1.194200268E1,-5.193881989E-1,-2.356412709E-1,2.133446932E-1
1.195200268E1,-5.885686874E-1,-2.335032374E-1,1.855503172E-1
1.196200268E1,-6.713408828E-1,-2.131919712E-1,1.576032341E-1
1.197200269E1,-7.237225771E-1,-1.869247705E-1,1.224784851E-1
1.198200269E1,-7.336491346E-1,-1.386664063E-1,8.216137439E-2
1.199200269E1,-7.133378983E-1,-8.063421398E-2,2.947424725E-2
1.200200268E1,-6.699664593E-1,-1.160643995E-2,-1.466076635E-2
1.201200268E1,-5.974262357E-1,5.497787148E-2,-6.627888232E-2
1.202200268E1,-5.309945941E-1,1.227839142E-1,-9.957103431E-2
1.203200268E1,-4.292855561E-1,2.113593817E-1,-1.404990107E-1
1.204200268E1,-3.153591752E-1,2.866485119E-1,-1.580613852E-1
1.205200269E1,-1.927279830E-1,3.439171314E-1,-1.585195363E-1
1.206200269E1,-9.208793938E-2,3.889684379E-1,-1.528690308E-1
1.207200269E1,2.565634064E-2,4.231768847E-1,-1.559233516E-1
1.208200268E1,1.156062484E-1,4.586070776E-1,-1.317941695E-1
1.209200268E1,1.678352207E-1,4.770857692E-1,-1.162171140E-1
1.210200268E1,2.092213482E-1,4.784601927E-1,-8.949175477E-2
1.211200268E1,2.057088763E-1,4.324925840E-1,-5.528330430E-2
1.212200268E1,1.478293836E-1,3.477350473E-1,-7.330383174E-3
1.213200269E1,9.315694869E-2,2.458732575E-1,-2.641992271E-2
1.214200269E1,4.459316283E-2,1.053742543E-1,-4.917465150E-2
1.215200269E1,-1.954768784E-2,4.734205548E-3,-4.153883830E-2
1.216200269E1,-1.140790880E-1,-5.833763257E-2,-1.175915636E-2
1.217200268E1,-1.866193265E-1,-5.726861581E-2,2.382374369E-2
1.218200268E1,-2.264782935E-1,-1.527163084E-3,7.269296050E-2
1.219200268E1,-2.348776907E-1,8.078692853E-2,1.262963861E-1
1.220200268E1,-2.263255715E-1,1.510364264E-1,1.408044398E-1
1.221200269E1,-2.446515262E-1,2.525927722E-1,1.406517178E-1
1.222200269E1,-2.933680415E-1,3.443752825E-1,1.261436790E-1
1.223200269E1,-3.796527386E-1,4.263839424E-1,1.079704314E-1
1.224200269E1,-4.659374654E-1,4.309654236E-1,8.628471941E-2
1.225200268E1,-5.642867684E-1,2.562579811E-1,3.695734590E-2
1.226200268E1,-6.392704844E-1,-1.554652005E-1,2.076941915E-2
1.227200268E1,-6.330091357E-1,-6.837109327E-1,2.046398520E-1
1.228200268E1,-4.764748812E-1,-1.096655846E0,3.671300113E-1
1.229200268E1,-1.624901593E-1,-1.417207360E0,4.665483236E-1
1.230200269E1,1.212567538E-1,-1.418887258E0,4.373795092E-1
1.231200269E1,2.154827118E-1,-1.136820197E0,3.720169365E-1
1.232200269E1,1.502728462E-1,-5.830708742E-1,3.066543639E-1
1.233200268E1,-8.292495459E-2,-1.970040426E-2,3.846924007E-1
1.234200268E1,-3.437644243E-1,6.114761233E-1,5.102251768E-1
1.235200268E1,-4.847215712E-1,1.044426799E0,5.539020896E-1
1.236200268E1,-5.569564104E-1,1.294423461E0,4.952589869E-1
1.237200268E1,-4.937318265E-1,1.148884773E0,2.524400651E-1
1.238200269E1,-4.347833395E-1,7.504479289E-1,7.590000331E-2
1.239200269E1,-3.584251702E-1,3.825543523E-1,-3.848451003E-2
1.240200269E1,-2.591595948E-1,-1.191187184E-2,-1.406517178E-1
1.241200269E1,-1.985312104E-1,-2.298380435E-1,-2.113593817E-1
1.242200268E1,-1.586722434E-1,-3.205515444E-1,-2.394591719E-1
1.243200268E1,-9.926560521E-2,-3.675881624E-1,-2.675589919E-1
1.244200268E1,-2.061670274E-2,-3.323107064E-1,-3.020728528E-1
1.245200268E1,6.169738993E-2,-2.729040384E-1,-3.597996235E-1
1.246200269E1,1.233947799E-1,-2.171625942E-1,-3.918700516E-1
1.247200269E1,1.960877478E-1,-1.637118906E-1,-3.946189582E-1
1.248200269E1,2.701551616E-1,-1.429424733E-1,-3.973678350E-1
1.249200269E1,3.223841190E-1,-1.609629989E-1,-3.756821156E-1
1.250200268E1,3.651446998E-1,-1.739438772E-1,-3.342960179E-1
1.251200268E1,4.056145251E-1,-2.159408629E-1,-2.684752643E-1
1.252200268E1,4.641048610E-1,-2.458732575E-1,-2.160935849E-1
1.253200268E1,5.103778839E-1,-2.383901626E-1,-1.773036420E-1
1.254200268E1,5.531384945E-1,-2.284636050E-1,-1.359175146E-1
1.255200269E1,5.800165534E-1,-1.847867370E-1,-8.735372871E-2
1.256200269E1,5.726861954E-1,-1.133155003E-1,-7.147123665E-2
1.257200269E1,5.337435007E-1,-5.299255997E-2,-8.735372871E-2
1.258200268E1,4.755585790E-1,4.489859566E-2,-5.925392732E-2
1.259200268E1,3.943135142E-1,1.282816976E-1,-2.855795063E-2
1.260200268E1,3.179553747E-1,1.765400618E-1,7.024950348E-3
1.261200268E1,2.244929820E-1,2.234239578E-1,6.108652335E-3
1.262200268E1,1.430951804E-1,2.643519342E-1,-4.734205548E-3
1.263200269E1,8.460483700E-2,3.222314119E-1,-1.924225502E-2
1.264200269E1,3.970624134E-2,4.066835344E-1,-2.412917651E-2
1.265200269E1,1.511891466E-2,5.033529401E-1,-4.856378585E-2
1.266200269E1,2.489275858E-2,5.300782919E-1,-4.627304152E-2
1.267200268E1,3.711006418E-2,4.320344329E-1,-3.878994286E-2
1.268200268E1,6.276640296E-2,2.918408811E-1,-2.886338346E-2
1.269200268E1,1.004873365E-1,9.346238524E-2,-4.825835302E-2
1.270200268E1,1.918116808E-1,-3.940080851E-2,-3.252857551E-2
1.271200269E1,2.672535479E-1,-7.406741381E-2,6.414085161E-3
1.272200269E1,3.255911767E-1,-3.023782931E-2,4.398229718E-2
1.273200269E1,3.217732608E-1,5.925392732E-2,2.306016348E-2
1.274200269E1,3.116939962E-1,1.606575549E-1,-3.924809024E-2
1.275200268E1,3.318525553E-1,2.573269904E-1,-1.041525230E-1
1.276200268E1,3.498730659E-1,3.758348525E-1,-1.374446750E-1
1.277200268E1,3.277291954E-1,5.076290369E-1,-1.534798890E-1
1.278200268E1,2.840523422E-1,6.249151230E-1,-1.485929638E-1
1.279200268E1,2.852740586E-1,6.322455406E-1,-1.253800988E-1
1.280200269E1,3.472768962E-1,4.448626041E-1,-1.424843222E-1
1.281200269E1,4.227187634E-1,-1.679879380E-3,-2.102903575E-1
1.282200269E1,4.054618180E-1,-4.532620013E-1,-3.181080818E-1
1.283200268E1,2.979495227E-1,-8.970556259E-1,-5.354233980E-1
1.284200268E1,2.043344229E-1,-1.094823241E0,-6.091853380E-1
1.285200268E1,2.118175179E-1,-1.127351761E0,-5.749769211E-1
1.286200268E1,2.787072659E-1,-9.648616314E-1,-5.316054821E-1
1.287200268E1,4.155410826E-1,-5.082398653E-1,-5.071708560E-1
1.288200269E1,5.254968405E-1,1.261436790E-1,-4.977024496E-1
1.289200269E1,5.264131427E-1,7.640396953E-1,-4.327980280E-1
1.290200269E1,4.283692539E-1,1.009607553E0,-3.364340365E-1
1.291200269E1,2.909245789E-1,9.370672703E-1,-1.808161139E-1
1.292200268E1,1.948660165E-1,6.236934066E-1,-3.359758854E-2
1.293200268E1,1.664607823E-1,3.359758854E-1,7.315111160E-2
1.294200268E1,1.139263660E-1,4.581489414E-2,1.996002197E-1
1.295200268E1,4.902193695E-2,-1.065959856E-1,2.854267955E-1
1.296200269E1,-3.207042441E-2,-1.478293836E-1,3.443752825E-1
1.297200269E1,-9.483683109E-2,-1.455386430E-1,3.909537494E-1
1.298200269E1,-1.698205322E-1,-1.238529310E-1,4.473060668E-1
1.299200269E1,-2.351831198E-1,-1.142318025E-1,4.889976382E-1
1.300200268E1,-2.765692472E-1,-1.350012124E-1,4.795292318E-1
1.301200268E1,-2.924517393E-1,-1.725694388E-1,4.515821338E-1
1.302200268E1,-3.266601861E-1,-2.261728644E-1,3.859141171E-1
1.303200268E1,-3.877467215E-1,-2.785545588E-1,3.104722500E-1
1.304200268E1,-4.437935948E-1,-2.945897579E-1,2.680171132E-1
1.305200269E1,-5.155702829E-1,-2.936734557E-1,2.328923792E-1
1.306200269E1,-5.763513446E-1,-2.672535479E-1,1.963931769E-1
1.307200269E1,-6.264423132E-1,-2.228130996E-1,1.514945775E-1
1.308200268E1,-6.424775124E-1,-1.927279830E-1,1.014036313E-1
1.309200268E1,-6.307183504E-1,-1.663080603E-1,4.031710699E-2
1.310200268E1,-5.971207619E-1,-1.311833113E-1,-1.970040426E-2
1.311200268E1,-5.548183322E-1,-9.376781434E-2,-6.872233748E-2
1.312200268E1,-4.567744732E-1,-3.298672289E-2,-1.033889428E-1
1.313200269E1,-3.440698385E-1,3.023782931E-2,-1.282816976E-1
1.314200269E1,-2.228130996E-1,9.941831976E-2,-1.543961912E-1
1.315200269E1,-1.293507218E-1,1.324050426E-1,-1.414152980E-1
1.316200269E1,-2.367102914E-2,1.872301996E-1,-1.162171140E-1
1.317200268E1,6.001751125E-2,2.541199327E-1,-9.712757170E-2
1.318200268E1,1.146899462E-1,2.930625975E-1,-9.132435173E-2
1.319200268E1,1.559233516E-1,3.052799106E-1,-8.903361112E-2
1.320200268E1,1.814269722E-1,2.968805134E-1,-8.536841720E-2
1.321200269E1,1.475239545E-1,2.713768780E-1,-7.544185966E-2
1.322200269E1,6.627888232E-2,2.228130996E-1,-6.780604273E-2
1.323200269E1,-4.169155285E-2,1.122464910E-1,-8.429940045E-2
1.324200269E1,-1.388191283E-1,-3.573561832E-2,-1.166752651E-1
1.325200268E1,-2.212859392E-1,-7.467827946E-2,-1.102611795E-1
1.326200268E1,-2.890919745E-1,-1.786780916E-2,-5.390885845E-2
1.327200268E1,-3.649919927E-1,1.056796908E-1,5.971207842E-2
1.328200268E1,-3.839288056E-1,2.583959997E-1,1.863138974E-1
1.329200269E1,-3.460551500E-1,3.761402667E-1,2.617557645E-1
1.330200269E1,-3.011565804E-1,4.294382632E-1,2.761110961E-1
1.331200269E1,-2.663372457E-1,4.827362597E-1,2.112066597E-1
1.332200269E1,-2.619084716E-1,4.473060668E-1,1.197295859E-1
1.333200268E1,-2.703078687E-1,3.116939962E-1,9.926560521E-2
1.334200268E1,-2.145664245E-1,-5.558873713E-2,2.448042482E-1
1.335200268E1,7.620543987E-2,-6.916521788E-1,5.096143484E-1
1.336200268E1,4.178318381E-1,-1.210124016E0,7.654141784E-1
1.337200268E1,6.055201888E-1,-1.341154695E0,9.040805697E-1
1.338200269E1,7.063129544E-1,-1.176221013E0,9.315695167E-1
1.339200269E1,6.314819455E-1,-7.144069076E-1,8.602510095E-1
1.340200269E1,4.239404798E-1,1.206458826E-2,7.744244337E-1
1.341200269E1,2.264782935E-1,6.065891981E-1,7.046330571E-1
1.342200268E1,2.855795063E-2,1.130558848E0,5.323690772E-1
1.343200268E1,-5.299255997E-2,1.185231328E0,2.666426897E-1
1.344200268E1,-1.069014147E-1,1.005636930E0,1.279762685E-1
1.345200268E1,-1.968513280E-1,6.832527518E-1,4.337143153E-2
1.346200269E1,-2.890919745E-1,3.173444867E-1,-2.153299935E-2
1.347200269E1,-3.413209617E-1,-3.512475174E-3,-6.963863969E-2
1.348200269E1,-3.291036487E-1,-1.777617931E-1,-9.132435173E-2
1.349200269E1,-2.819143236E-1,-2.672535479E-1,-1.169806942E-1
1.350200268E1,-1.898263693E-1,-2.270891517E-1,-1.478293836E-1
1.351200268E1,-5.894849449E-2,-1.481348276E-1,-1.814269722E-1
1.352200268E1,5.849034712E-2,-4.871650413E-2,-2.150245607E-1
1.353200268E1,2.012801021E-1,4.108068720E-2,-2.840523422E-1
1.354200269E1,3.274237812E-1,4.978551716E-2,-3.185662329E-1
1.355200269E1,4.159992337E-1,2.107485011E-2,-3.274237812E-1
1.356200269E1,5.059491396E-1,-4.398229718E-2,-3.155119121E-1
1.357200269E1,5.632177591E-1,-1.320996135E-1,-2.729040384E-1
1.358200268E1,6.133087277E-1,-1.692096740E-1,-2.144137025E-1
1.359200268E1,6.342308521E-1,-1.811215430E-1,-1.693623960E-1
1.360200268E1,6.429356933E-1,-1.701259762E-1,-1.119410545E-1
1.361200268E1,6.420193911E-1,-1.650863290E-1,-5.589416996E-2
1.362200268E1,6.276640296E-1,-1.444696337E-1,-1.679879427E-2
1.363200269E1,5.998696685E-1,-1.214094684E-1,1.618792862E-2
1.364200269E1,5.645921826E-1,-7.559457421E-2,1.511891466E-2
1.365200269E1,5.209153295E-1,2.474004216E-2,3.817907721E-2
1.366200269E1,4.737260044E-1,1.166752651E-1,6.872233748E-2
1.367200268E1,3.839288056E-1,2.133446932E-1,9.575312585E-2
1.368200268E1,2.588541508E-1,2.976440787E-1,1.058324054E-1
1.369200268E1,1.227839142E-1,3.394883573E-1,9.285151958E-2
1.370200268E1,3.283400834E-2,3.597996235E-1,6.994406879E-2
1.371200269E1,-3.283400834E-2,3.885102868E-1,4.214970022E-2
1.372200269E1,-8.277224004E-2,4.331034720E-1,5.650503561E-3
1.373200269E1,-9.865473956E-2,4.656320214E-1,-1.756237634E-2
1.374200269E1,-8.307767659E-2,4.378376603E-1,-3.588833287E-2
1.375200268E1,-3.191770986E-2,2.999348342E-1,-3.955352306E-2
1.376200268E1,5.696318299E-2,8.979719132E-2,-2.977968007E-2
1.377200268E1,1.615738571E-1,-7.559457421E-2,4.276056774E-3
1.378200268E1,2.724458873E-1,-1.889100820E-1,4.810563847E-2
1.379200269E1,3.248275816E-1,-2.104430795E-1,9.422596544E-2
1.380200269E1,3.245221674E-1,-1.499674171E-1,5.513058975E-2
1.381200269E1,3.036000133E-1,-9.819658846E-2,-7.177666761E-3
