"t","x","y","z"
5.008395976E0,-8.265407562E0,-2.913261652E-1,2.632104978E-2
5.018395976E0,-8.030312538E0,-4.235295951E-1,1.674975827E-2
5.028395976E0,-7.910671711E0,-4.319044948E-1,3.469592705E-2
5.038395976E0,-7.877770424E0,-3.355933726E-1,2.931207791E-2
5.048395976E0,-7.841279984E0,-1.537388563E-1,2.273181453E-2
5.058395976E0,-7.483552933E0,2.608176768E-1,-2.877369225E-1
5.068395976E0,-7.224529743E0,5.641079545E-1,-3.870390654E-1
5.078395976E0,-6.934998035E0,7.393822074E-1,-4.474578202E-1
5.088395976E0,-6.690930367E0,8.039883971E-1,-3.487538993E-1
5.098395976E0,-6.527620316E0,7.968099117E-1,-1.351944804E-1
5.108395976E0,-6.449853420E0,7.884350419E-1,7.896314561E-2
5.118395976E0,-6.544369698E0,7.782655358E-1,2.464607358E-1
5.128395976E0,-6.653841496E0,6.669993401E-1,1.333998591E-1
5.138395976E0,-6.825526714E0,5.551348329E-1,3.529413417E-2
5.148395976E0,-6.997211456E0,4.911268353E-1,-1.136590727E-2
5.158395976E0,-7.140780926E0,4.606183469E-1,-9.092725813E-2
5.168395976E0,-7.463213921E0,6.921239495E-1,-8.135596663E-2
5.178395976E0,-7.688737392E0,8.530412912E-1,-2.392822690E-2
5.188395976E0,-7.933403492E0,1.018146038E0,1.004985496E-1
5.198395976E0,-8.163114548E0,1.112064362E0,2.775674164E-1
5.208395976E0,-8.410173416E0,1.119840980E0,5.174478889E-1
5.218395976E0,-8.619544983E0,1.089930773E0,7.142575383E-1
5.228395976E0,-8.913264275E0,1.107278705E0,1.211964726E0
5.238395976E0,-9.044271469E0,1.068993568E0,1.618146300E0
5.248395976E0,-9.047262192E0,1.098903775E0,1.980658889E0
5.258395976E0,-8.893523216E0,1.249651670E0,2.374278307E0
5.268395976E0,-8.734998703E0,1.390828133E0,2.763111830E0
5.278395976E0,-8.676973343E0,1.478764415E0,3.124428272E0
5.288395976E0,-8.845068932E0,1.485942841E0,3.011367321E0
5.298395976E0,-9.209376335E0,1.515853167E0,2.793620348E0
5.308395976E0,-9.807581902E0,1.495514154E0,2.668595552E0
5.318395976E0,-1.061456108E1,1.362712502E0,2.598007202E0
5.328395976E0,-1.157827091E1,1.123430252E0,2.477169752E0
5.338395976E0,-1.336570930E1,9.433703423E-1,2.212164640E0
5.348395976E0,-1.371865082E1,1.293918848E0,2.159522533E0
5.358395976E0,-1.354995632E1,1.678565025E0,2.212762833E0
5.368395976E0,-1.296191978E1,1.875972986E0,2.489133835E0
5.378395976E0,-1.225783253E1,1.917249203E0,2.880360365E0
5.388395976E0,-1.225783253E1,1.917249203E0,2.880360365E0
5.398395976E0,-1.144845963E1,5.748756528E-1,2.537588358E0
5.408395976E0,-1.189053345E1,4.725824669E-2,2.005185366E0
5.418395976E0,-1.250189972E1,-1.764706671E-1,8.279166222E-1
5.428395976E0,-1.320718479E1,-2.111666054E-1,-5.264210105E-1
5.438395976E0,-1.378983688E1,-1.854437590E-2,-1.850848317E0
5.448395976E0,-1.405304718E1,4.689932466E-1,-4.618745804E0
5.458395976E0,-1.375693512E1,8.279166222E-1,-5.772684574E0
5.468395976E0,-1.321316624E1,1.060618639E0,-6.479165554E0
5.478395976E0,-1.250249863E1,1.048056364E0,-6.702296257E0
5.488395976E0,-1.177567863E1,8.117650747E-1,-6.275775433E0
5.498395976E0,-1.106441212E1,-1.657029688E-1,-3.782454491E0
5.508395976E0,-1.091067314E1,-7.627122402E-1,-2.057229280E0
5.518395976E0,-1.085145092E1,-1.107278705E0,-5.335994363E-1
5.528395976E0,-1.078504944E1,-1.080359459E0,3.433700502E-1
5.538395976E0,-1.062891865E1,-7.435696125E-1,5.682953596E-1
5.548395976E0,-1.031964588E1,-2.291127741E-1,3.625126183E-1
5.558395976E0,-9.369096756E0,9.696913958E-1,-3.152543902E-1
5.568395976E0,-8.906683922E0,1.500299811E0,-3.888336718E-1
5.578395976E0,-8.489734650E0,1.949552298E0,-3.517449200E-1
5.588395976E0,-8.148159027E0,2.216351986E0,-3.080759048E-1
5.598395976E0,-7.913662910E0,2.204387903E0,-2.955136001E-1
5.608395976E0,-7.573882103E0,1.604387641E0,-3.595215976E-1
5.618395976E0,-7.425527096E0,1.093519926E0,-3.517449200E-1
5.628395976E0,-7.238288403E0,5.066801906E-1,-3.672982752E-1
5.638395976E0,-6.998407841E0,-1.034895778E-1,-4.163511395E-1
5.648395976E0,-6.786643028E0,-6.275177598E-1,-2.566302419E-1
5.658395976E0,-6.605386734E0,-1.022333503E0,-8.255238086E-2
5.668395976E0,-6.403791428E0,-1.311266780E0,4.139583111E-1
5.678395976E0,-6.337390900E0,-1.243071318E0,4.803591371E-1
5.688395976E0,-6.314060688E0,-1.104287624E0,5.551348329E-1
5.698395976E0,-6.330212116E0,-9.080761671E-1,5.539384484E-1
5.708395976E0,-6.446264267E0,-7.609176040E-1,5.676971674E-1
5.718395976E0,-6.894918442E0,-4.444667995E-1,4.534398913E-1
