"t","x","y","z"
5.003791380E0,-1.444696337E-1,-4.657847434E-2,2.458732575E-1
5.013791380E0,-1.612684280E-1,-3.787364438E-2,3.080287874E-1
5.023791380E0,-1.705841124E-1,-3.054326214E-2,3.642283976E-1
5.033791380E0,-2.029599845E-1,-1.466076635E-2,4.460843503E-1
5.043791380E0,-2.186897546E-1,9.468411095E-3,4.705189466E-1
5.053791380E0,-2.138028294E-1,4.474587739E-2,4.850270152E-1
5.063791380E0,-1.882992089E-1,7.024950534E-2,4.946481287E-1
5.073791380E0,-1.507309973E-1,6.307183951E-2,4.922046661E-1
5.083791380E0,-5.726861581E-2,-1.053742506E-2,4.601342380E-1
5.093791380E0,-1.374446787E-2,-3.344487399E-2,4.393648207E-1
5.103791380E0,1.771509275E-2,-1.160643995E-2,4.147774875E-1
5.113791380E0,4.306599870E-2,4.153883830E-2,3.853032589E-1
5.123791380E0,6.459899992E-2,1.153008118E-1,3.399465084E-1
5.133791380E0,8.857546002E-2,1.853975952E-1,2.921462953E-1
5.143791380E0,1.585195363E-1,2.580905557E-1,2.270891517E-1
5.153791380E0,1.779145002E-1,2.617557645E-1,2.112066597E-1
5.163791380E0,1.850921661E-1,2.472477108E-1,2.050980031E-1
5.173791380E0,1.887573600E-1,2.194533348E-1,2.050980031E-1
5.183791380E0,2.034181207E-1,1.915062517E-1,2.002110779E-1
5.193791380E0,2.846632004E-1,1.107193232E-1,1.719585657E-1
5.203791380E0,3.404046595E-1,6.963863969E-2,1.461495161E-1
5.213791380E0,3.839288056E-1,2.244929783E-2,1.217148975E-1
5.223791380E0,3.935499489E-1,-5.375614017E-2,8.765916526E-2
5.233791380E0,3.801108897E-1,-1.495092660E-1,4.642575979E-2
5.243791380E0,3.581197560E-1,-2.356412709E-1,1.374446787E-3
5.253791380E0,2.837468982E-1,-3.668245673E-1,-9.330966324E-2
5.263791380E0,2.324342281E-1,-3.865249753E-1,-1.492038369E-1
5.273791380E0,1.739438772E-1,-3.759875596E-1,-2.063197345E-1
5.283791380E0,1.044579595E-1,-3.471241891E-1,-2.426662147E-1
5.293791380E0,2.794708498E-2,-3.208569586E-1,-2.571742535E-1
5.303791380E0,-1.079704314E-1,-3.356704414E-1,-2.370157093E-1
5.313791380E0,-1.598939747E-1,-3.539963961E-1,-2.087631971E-1
5.323791380E0,-1.863138974E-1,-3.707951903E-1,-1.562287807E-1
5.333791380E0,-1.823432744E-1,-4.033237696E-1,-8.414668590E-2
5.343791380E0,-1.527163088E-1,-4.355469346E-1,4.886921961E-3
5.353791380E0,-1.024726480E-1,-4.630358517E-1,8.277224004E-2
5.363791380E0,1.087340117E-1,-5.471825600E-1,8.949175477E-2
5.373791380E0,2.324342281E-1,-5.734497309E-1,4.276056588E-2
5.383791380E0,3.364340365E-1,-5.745187402E-1,-2.840523422E-2
5.393791380E0,4.173736870E-1,-5.563455224E-1,-9.101892263E-2
5.403791380E0,4.645630121E-1,-5.079344511E-1,-1.119410545E-1
5.413791380E0,3.295617998E-1,-8.903361112E-2,1.282816976E-1
5.423791380E0,2.040289938E-1,2.052507252E-1,3.442225754E-1
5.433791380E0,8.842274547E-2,4.983133376E-1,5.748242140E-1
5.443791380E0,-3.054326167E-3,7.261660695E-1,7.638869882E-1
5.453791380E0,-5.375614017E-2,7.999280095E-1,8.384125233E-1
5.463791380E0,-3.817907721E-2,6.763805151E-1,7.652614117E-1
5.473791380E0,2.672535479E-1,8.200865984E-2,3.344487250E-1
5.483791380E0,5.007568002E-1,-2.348776907E-1,1.424843222E-1
5.493791380E0,7.102835774E-1,-4.463897645E-1,4.581489484E-4
5.503791380E0,8.542950749E-1,-5.453499556E-1,-1.120937690E-1
5.513791380E0,8.950703144E-1,-5.528330207E-1,-1.988366395E-1
5.523791380E0,7.283040881E-1,-3.465133011E-1,-2.474004179E-1
5.533791380E0,5.995642543E-1,-2.319760770E-1,-2.434297949E-1
5.543791380E0,4.781547785E-1,-1.487456858E-1,-2.347249687E-1
5.553791380E0,3.762930036E-1,-1.128573567E-1,-2.319760770E-1
5.563791380E0,2.936734557E-1,-1.130100712E-1,-2.400700450E-1
5.573791380E0,2.183843255E-1,-1.278235465E-1,-2.519819140E-1
5.583791380E0,1.015563458E-1,-1.525636017E-1,-2.991712391E-1
5.593791380E0,6.017022580E-2,-1.467603743E-1,-3.246748745E-1
5.603791380E0,3.695734590E-2,-1.214094684E-1,-3.452915847E-1
5.613791380E0,4.291328415E-2,-8.521570265E-2,-3.649919927E-1
5.623791380E0,8.292495459E-2,-4.398229718E-2,-3.834706545E-1
5.633791380E0,2.127338201E-1,-1.221730490E-3,-3.914119005E-1
5.643791380E0,2.674062550E-1,-7.024950348E-3,-3.659082949E-1
5.653791380E0,3.003929853E-1,-2.611448988E-2,-3.269656301E-1
5.663791380E0,3.054326177E-1,-3.207042441E-2,-2.854267955E-1
5.673791380E0,2.863430977E-1,-3.558290005E-2,-2.390010208E-1
5.683791380E0,2.538145185E-1,-4.413501546E-2,-1.913535446E-1
5.693791380E0,1.861611903E-1,2.122756653E-2,-1.032362282E-1
5.703791380E0,1.644754708E-1,8.536841720E-2,-7.162395120E-2
5.713791380E0,1.560760736E-1,1.592831165E-1,-4.856378585E-2
5.723791380E0,1.524108797E-1,2.295326144E-1,-3.878994286E-2
5.733791380E0,1.536326110E-1,2.658790946E-1,-3.161227703E-2
5.743791380E0,1.487456858E-1,2.113593817E-1,-3.023782931E-2
5.753791380E0,1.440114826E-1,1.350012124E-1,-3.863722831E-2
5.763791380E0,1.403462887E-1,5.161811411E-2,-4.581489414E-2
5.773791380E0,1.331686229E-1,-2.962696366E-2,-5.177082866E-2
5.783791380E0,1.209513173E-1,-9.743300825E-2,-5.894849449E-2
5.793791380E0,9.911288321E-2,-1.434006095E-1,-5.879577994E-2
5.803791380E0,7.024950348E-3,-1.388191283E-1,-4.749477282E-2
5.813791380E0,-5.131268129E-2,-8.338310570E-2,-3.756821156E-2
5.823791380E0,-1.215621829E-1,-1.817324013E-2,-1.420261711E-2
5.833791380E0,-2.028072625E-1,4.948008433E-2,1.649336144E-2
5.843791380E0,-2.997821271E-1,1.024726480E-1,5.574145541E-2
5.853791380E0,-4.935791194E-1,1.469130963E-1,1.345430762E-1
5.863791380E0,-5.723807216E-1,1.467603743E-1,1.518000066E-1
5.873791380E0,-6.331618428E-1,1.211040318E-1,1.447750628E-1
5.883791380E0,-6.853908300E-1,9.544769675E-2,1.230893433E-1
5.893791380E0,-7.026477456E-1,8.078692853E-2,6.582073122E-2
5.903791380E0,-6.473644376E-1,5.528330430E-2,-3.191770986E-2
5.913791380E0,-3.567453027E-1,-1.270599663E-1,-2.182316035E-1
5.923791380E0,-1.907426715E-1,-2.634356320E-1,-2.869539559E-1
5.933791380E0,-5.726861581E-2,-4.071416855E-1,-3.164281845E-1
5.943791380E0,3.649919853E-2,-5.484042764E-1,-2.774855494E-1
5.953791380E0,1.023199260E-1,-6.206390858E-1,-2.289217561E-1
5.963791380E0,1.574505121E-1,-6.759223938E-1,-1.594358236E-1
5.973791380E0,1.189660057E-1,-6.528622508E-1,-9.101892263E-2
5.983791380E0,3.313944116E-2,-6.020076871E-1,3.207042580E-3
5.993791380E0,-6.246097013E-2,-4.714352489E-1,6.551529467E-2
6.003791380E0,-9.346238524E-2,-1.765400618E-1,-7.941247895E-3
6.013791380E0,-5.360342562E-2,2.344195396E-1,-1.979203373E-1
6.023791380E0,2.544253767E-1,1.001513600E0,-5.945246220E-1
6.033791380E0,4.321871698E-1,1.128726244E0,-7.185302377E-1
6.043791380E0,5.412266254E-1,9.860892296E-1,-7.675521970E-1
6.053791380E0,5.392413139E-1,6.171266437E-1,-7.412849665E-1
6.063791380E0,4.163046777E-1,1.656972021E-1,-6.510296464E-1
6.073791380E0,4.948008433E-2,-5.158756971E-1,-3.495676219E-1
6.083791380E0,-7.238753140E-2,-7.434229851E-1,-2.561052442E-1
6.093791380E0,-1.435533315E-1,-8.655960560E-1,-1.823432744E-1
6.103791380E0,-1.989893466E-1,-8.451320529E-1,-1.163698286E-1
6.113791380E0,-2.692388594E-1,-7.205155492E-1,-5.283984542E-2
6.123791380E0,-3.455969989E-1,-5.317581892E-1,4.428773187E-3
6.133791380E0,-4.074471295E-1,-1.130100712E-1,9.804387391E-2
6.143791380E0,-3.746131063E-1,6.139195710E-2,1.366810948E-1
6.153791380E0,-3.066543639E-1,1.947132945E-1,1.629483104E-1
6.163791380E0,-2.336559594E-1,2.701551616E-1,1.882992089E-1
6.173791380E0,-1.667662114E-1,2.909245789E-1,2.222022265E-1
6.183791380E0,-1.450804994E-2,2.275473028E-1,3.278819323E-1
6.193791380E0,5.986479297E-2,1.892155111E-1,3.727805018E-1
6.203791380E0,1.120937690E-1,1.566869318E-1,3.958406746E-1
6.213791380E0,1.316414624E-1,1.229366288E-1,3.946189582E-1
6.223791380E0,1.290452778E-1,8.781187981E-2,3.654501438E-1
6.233791380E0,1.227839142E-1,4.398229718E-2,3.155119121E-1
