"t","x","y","z"
4.168955600E-2,-1.119410545E-1,-1.204931661E-1,-4.825835302E-2
5.168955600E-2,-6.230825558E-2,-6.215553731E-2,-4.856378585E-2
6.168955600E-2,-3.191770986E-2,-4.520402849E-2,-3.405573592E-2
7.168955600E-2,-2.321287990E-2,-6.200282276E-2,-1.450804994E-2
8.168955600E-2,-2.916881628E-2,-1.055269688E-1,1.007927675E-2
9.168955600E-2,-4.001167417E-2,-1.611157060E-1,2.474004216E-2
1.016895560E-1,-5.070181563E-2,-2.193006277E-1,4.321871698E-2
1.116895560E-1,-6.536258012E-2,-2.544253767E-1,3.604105115E-2
1.216895560E-1,-7.269296050E-2,-2.641992271E-1,1.527163107E-2
1.316895560E-1,-8.002334833E-2,-2.521346211E-1,3.054326167E-3
1.416895560E-1,-8.002334833E-2,-2.302961946E-1,-5.497787148E-3
1.516895560E-1,-7.422012836E-2,-2.110539377E-1,-2.626720630E-2
1.616895560E-1,-5.849034712E-2,-2.037235647E-1,-4.948008433E-2
1.716895560E-1,-4.169155285E-2,-1.928807050E-1,-7.040221989E-2
1.816895560E-1,-3.802636266E-2,-1.795943826E-1,-8.750644326E-2
1.916895560E-1,-4.062253982E-2,-1.832595766E-1,-1.069014147E-1
2.016895560E-1,-5.039638281E-2,-1.942551434E-1,-1.191187203E-1
2.116895560E-1,-5.650503561E-2,-2.087631971E-1,-1.264491081E-1
2.216895560E-1,-5.528330430E-2,-2.112066597E-1,-1.313360333E-1
2.316895560E-1,-5.528330430E-2,-2.089159191E-1,-1.362229437E-1
2.416895560E-1,-6.017022580E-2,-2.064724565E-1,-1.313360333E-1
2.516895560E-1,-6.123924255E-2,-1.979203373E-1,-1.252273768E-1
2.616895560E-1,-5.513058975E-2,-2.015855312E-1,-1.081231460E-1
2.716895560E-1,-4.535674304E-2,-2.134974003E-1,-8.979719132E-2
2.816895560E-1,-1.970040426E-2,-2.327396572E-1,-7.651086897E-2
2.916895560E-1,-5.192354787E-3,-2.593123019E-1,-7.406741381E-2
3.016895560E-1,2.275473066E-2,-2.652682364E-1,-7.162395120E-2
3.116895560E-1,5.665775016E-2,-2.325869352E-1,-7.315111160E-2
3.216895560E-1,7.620543987E-2,-1.925752759E-1,-6.826419383E-2
3.316895560E-1,8.231408894E-2,-1.658499092E-1,-5.742133409E-2
3.416895560E-1,8.475755155E-2,-1.440114826E-1,-4.276056588E-2
3.516895560E-1,7.742717117E-2,-1.415680200E-1,-4.031710699E-2
3.616895560E-1,7.620543987E-2,-1.295034289E-1,-3.176499158E-2
3.716895560E-1,6.062837690E-2,-1.041525230E-1,-7.330383174E-3
3.816895560E-1,1.939497143E-2,-1.319468915E-1,1.527163113E-4
3.916895560E-1,1.206458826E-2,-1.114829108E-1,6.261368748E-3
4.016895560E-1,-8.552113548E-3,-1.114829108E-1,9.926560335E-3
4.116895560E-1,-1.939497143E-2,-1.188132912E-1,7.483099122E-3
4.216895560E-1,-1.710422710E-2,-1.357648075E-1,-3.359758761E-3
4.316895560E-1,-1.954768784E-2,-1.490511149E-1,-1.191187184E-2
4.416895560E-1,-1.114829071E-2,-1.479821056E-1,-2.779436857E-2
4.516895560E-1,-1.527163084E-3,-1.661553532E-1,-5.467243865E-2
4.616895560E-1,-3.313944116E-2,-1.589776874E-1,-7.284568250E-2
4.716895560E-1,-5.253441259E-2,-1.469130963E-1,-7.528914511E-2
4.816895560E-1,-5.024366826E-2,-1.082758680E-1,-8.994990587E-2
4.916895560E-1,-3.207042441E-2,-5.375614017E-2,-8.765916526E-2
5.016895560E-1,-1.389718428E-2,-1.252273750E-2,-7.070764899E-2
5.116895560E-1,-4.581489484E-4,5.650503561E-3,-5.619960278E-2
5.216895560E-1,1.298088674E-2,2.031126991E-2,-3.543018550E-2
5.316895560E-1,3.130684420E-2,3.741549700E-2,-1.359175146E-2
5.416895560E-1,5.436700583E-2,4.596760869E-2,-1.527163084E-3
5.516895560E-1,7.757988572E-2,6.536258012E-2,1.298088674E-2
5.616895560E-1,9.330966324E-2,8.368854225E-2,2.748893574E-2
5.716895560E-1,9.819658846E-2,8.857546002E-2,3.115412779E-2
5.816895560E-1,1.104138941E-1,6.673702598E-2,2.871066704E-2
5.916895560E-1,1.855503172E-1,-7.101308554E-2,1.832595794E-3
6.016895560E-1,1.979203373E-1,-1.762346178E-1,2.153299935E-2
6.116895560E-1,9.361509979E-2,-9.407325089E-2,5.711590126E-2
6.216895560E-1,4.138612002E-2,-8.399397135E-3,5.467243865E-2
6.316895560E-1,2.290744707E-2,5.314527452E-2,2.535090782E-2
6.416895560E-1,9.468411095E-3,5.665775016E-2,9.621127509E-3
6.516895560E-1,1.191187184E-2,3.985895589E-2,9.621127509E-3
6.616895560E-1,2.657263726E-2,1.572977938E-2,1.817324013E-2
6.716895560E-1,4.489859566E-2,-1.084285788E-2,3.161227703E-2
6.816895560E-1,5.589416996E-2,-3.985895589E-2,3.894266114E-2
6.916895560E-1,6.933320314E-2,-5.192354694E-2,4.245513305E-2
7.016895560E-1,8.506298810E-2,-6.032294407E-2,4.489859566E-2
